location_id,country_code,country_full_name,city,address,zip_code,state
5ec42e08-29a3-42e9-9d65-a441d58842de,US,United States,Jasonview,283 Steven Groves,84387,Vermont
d89a40c0-e87d-4c78-a7c4-21c740497b71,US,United States,North Cynthiaview,52427 Hoffman Creek,10363,Vermont
b27b3d90-1a16-442c-be2b-6091a092f52a,US,United States,Melissaville,8651 Smith Manor,64752,Connecticut
5e5ba13d-746c-4b77-9fa3-82e8895ccd99,US,United States,Brendastad,370 Herman Forges,85390,California
4fc77768-5ebb-4ca5-a84b-f9625744f596,US,United States,Kimberlyshire,22901 Ramos Manors,64157,Rhode Island
dedab027-6550-474a-9422-373f862268d1,US,United States,Juliebury,18188 Rebecca Keys Suite 231,19695,Kentucky
86c1b6cb-e996-40f7-af77-520eff4625af,US,United States,Lake Ellenhaven,54235 Lee Dam Apt. 141,67044,Wyoming
09f64405-0b99-4034-8a4e-255280051b10,US,United States,Lake Mason,729 Mark Ridge Suite 269,97405,Maryland
37c86152-beed-4af9-80c5-9f30d1031424,US,United States,North Rodneyland,70462 Katie Stream,85157,Nebraska
6d5d0477-adc2-4178-a041-16122cd58759,US,United States,Williamsstad,566 Kevin Ferry Suite 334,93244,Georgia
22f3f068-7c0f-449d-8274-0f73f3abea0d,US,United States,Port Patrick,7677 Christopher Burgs Apt. 404,29971,Ohio
5bb47c18-b281-47c4-aa05-5442a284e8fd,US,United States,Port Amandaborough,74545 Ashlee Oval Suite 001,82575,New Jersey
f0f7ad22-c76a-4e0f-88f0-91f09b8b38ae,US,United States,Port Melanieport,983 Phillips Center,31871,New York
2cf72140-bd9b-4648-a876-1e85bddfa03a,US,United States,North Jeantown,5884 Nathan Summit,35728,Washington
01a1fb0f-268b-44b6-bec0-a285cbc4ec0e,US,United States,Johnsonside,050 Sweeney Stream Suite 138,31718,Nebraska
07692583-9194-421e-a11b-f0d486379f04,US,United States,East Nancy,30705 Joshua View,61347,North Carolina
6365fc2a-6793-4b09-ab27-1effe82b5b36,US,United States,New Jeanshire,3875 Bruce Ville,86695,Oklahoma
6180b78a-0678-4c34-9b41-a61e85d1a1ef,US,United States,North Ellen,2442 Hannah Hill,27239,Wisconsin
7def3b8e-ec0d-4c3a-b011-b125022111e5,US,United States,Evanschester,308 Lopez Points Suite 632,94209,West Virginia
1cf8570b-5e5b-4ad8-b473-2eb67bb775d4,US,United States,Nixonland,847 Alexandra Ridge,12093,Kansas
8853490b-ec26-4a0c-809f-1c91f2c0a0cf,US,United States,South Frances,4286 Keith Union Suite 658,90006,Arizona
d4e99a65-022b-4e76-ac3c-be3402b53d3d,US,United States,North Roberthaven,753 King Bypass,03607,South Carolina
191abb3d-3a4f-4ce7-937d-66c61c31aaf3,US,United States,Lake Robert,3179 Brown Mews,19498,Indiana
91faf1c7-8141-4b37-bde8-14ac9ceab67b,US,United States,North Loritown,342 Teresa Courts,28552,North Carolina
4f7f963e-d3c5-44a3-8c0b-200d3edec38e,US,United States,Washingtonchester,032 Taylor Green Suite 820,95197,New York
171aa532-4d07-418b-816a-a7f6eafd3e7b,US,United States,West Jason,5604 Madeline Overpass,62247,West Virginia
f541a44e-16cc-4813-a635-53ba4299b351,US,United States,Georgeshire,86771 Jennifer Field,35392,Maine
c49968dd-d6d2-4227-ad5c-1a6163021daa,US,United States,North Stevenborough,30453 Lisa Road Suite 337,48080,Arizona
7d2e7d9e-e2c6-493e-9586-6982f7e808a2,US,United States,Lake Christopher,912 Potter Rue Suite 787,23962,Massachusetts
8bf160df-8346-452b-8073-aa66d7b4db17,US,United States,Port Joshuabury,15083 Gonzalez Isle,33272,Maryland
6a367425-fa41-4d2e-8ab2-14388557ec6c,US,United States,Karenbury,3380 Laurie Square Apt. 968,42658,Idaho
d46a77af-2a73-4a67-ac46-1d48e041f0a3,US,United States,Kingport,461 Daisy Trail Suite 243,98580,Montana
88d7d47c-ec38-404b-a2c0-eee9aa5ca8cd,US,United States,Davismouth,915 Kent Summit,96970,Washington
f3a80aa0-60ee-4cbc-b8e3-c67df8018a19,US,United States,Port Saraburgh,718 Graves Way Suite 849,13485,Arkansas
2cc09f87-399e-4823-a75f-58ba86052bef,US,United States,West Maryhaven,67625 Matthew Springs Apt. 814,39714,New Mexico
7a7a852e-f9f1-4e65-8919-8c69cbfe68f0,US,United States,North Beckyview,52265 Snyder Orchard,91389,Nebraska
b9c6b26b-6401-418d-8078-bc3e50814407,US,United States,Terriville,8182 Brenda Light Suite 904,21632,Georgia
bdc4d680-b3c9-4502-b66f-42687c7dd490,US,United States,Wilsonmouth,272 Luke Bypass,79285,Wyoming
846c454c-5170-42ef-a777-c6646732ceca,US,United States,South Jerry,196 Hood Estate,42759,Indiana
f429c05d-34b1-4488-8b4a-1b4b2a683e18,US,United States,Hamiltonmouth,459 Catherine Meadow Apt. 955,83430,California
