order_id,user_id,order_date,shipping_location_id,order_status,payment_method,total_amount,updated_at
19db3ad0-ddd1-4fb2-bb98-2ef8daf61a26,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2024-06-24 11:47:33.652483,5ec42e08-29a3-42e9-9d65-a441d58842de,cancelled,credit card,225.0,2024-06-24 11:47:33.652483
a25d6b29-afff-4fd2-b41e-f40b57c700aa,3d1a85dd-506e-4a9a-b758-588dab73295b,2024-07-16 21:26:05.280636,d89a40c0-e87d-4c78-a7c4-21c740497b71,delivered,credit card,1299.99,2024-07-16 21:26:05.280636
32c5bd89-b70b-4420-b104-3785658b2523,42999aa4-0cdf-442b-ae85-cb217631de9d,2023-10-21 10:16:28.259667,b27b3d90-1a16-442c-be2b-6091a092f52a,shipped,bank transfer,259.0,2023-10-21 10:16:28.259667
171e16cc-5da3-4f1b-8eac-0a33cdf974a7,af908e3c-dd75-4e98-90e0-b95f0212b554,2024-07-06 14:20:19.766586,5e5ba13d-746c-4b77-9fa3-82e8895ccd99,delivered,paypal,425.0,2024-07-06 14:20:19.766586
87cdb6a1-bf01-4e32-977d-6e7e07d924ce,0d2b91ef-b897-4ec5-aa74-bb18de3b496f,2024-08-11 21:09:26.273110,4fc77768-5ebb-4ca5-a84b-f9625744f596,delivered,bank transfer,749.0,2024-08-11 21:09:26.273110
5ca260c9-eb76-47c9-b08a-4895d4ffa666,ad9fb00d-4882-473c-9c63-45ab6e0ed1e8,2023-04-25 18:22:50.684975,dedab027-6550-474a-9422-373f862268d1,cancelled,bank transfer,518.0,2023-04-25 18:22:50.684975
ab8cbf97-20b7-4785-902c-e0c154170a17,68a51c68-632d-4b5e-886b-b6bfeafde7d9,2023-12-16 23:32:58.243917,86c1b6cb-e996-40f7-af77-520eff4625af,delivered,credit card,425.0,2023-12-16 23:32:58.243917
24eeb4a6-c145-45c7-9d98-6115f05eeefe,6b0ae0e3-9d89-4047-9d39-d7936257a4a2,2023-12-04 13:57:09.405249,09f64405-0b99-4034-8a4e-255280051b10,cancelled,credit card,139.5,2023-12-04 13:57:09.405249
4ee4334e-ce92-4136-ac3a-812f765e6cb5,aa0217d0-cd4f-4b2b-899a-c252c1e1b94a,2023-06-16 04:49:15.969640,37c86152-beed-4af9-80c5-9f30d1031424,pending,credit card,899.0,2023-06-16 04:49:15.969640
f2d2393f-8e85-440d-8f9a-eb7046707cd6,59077299-dc3b-4dd8-a74e-02a9220b9ea9,2024-12-19 23:14:53.414939,6d5d0477-adc2-4178-a041-16122cd58759,cancelled,credit card,899.0,2024-12-19 23:14:53.414939
7374ccbf-d78c-47d3-9088-50d32fe5b140,43299780-1d2c-4721-b522-0646327375bf,2023-07-12 14:13:09.764545,22f3f068-7c0f-449d-8274-0f73f3abea0d,delivered,credit card,599.99,2023-07-12 14:13:09.764545
bb93cd40-d8df-4535-862d-baeade70bd30,c2efeecb-3f5f-4f4f-9417-62305274ee11,2024-01-19 04:53:46.209430,5bb47c18-b281-47c4-aa05-5442a284e8fd,pending,bank transfer,289.0,2024-01-19 04:53:46.209430
3f87dfc2-1591-42f2-a505-da9c46e75a2c,40198303-5c45-4e4d-a793-13b817e52113,2024-09-12 01:50:40.419642,f0f7ad22-c76a-4e0f-88f0-91f09b8b38ae,pending,bank transfer,1299.99,2024-09-12 01:50:40.419642
9cbf7b8c-7410-4d5d-9db1-4bfc6f3a5115,8044beb2-b66e-4bf4-a0ea-0251495743a2,2024-07-13 03:49:51.600716,2cf72140-bd9b-4648-a876-1e85bddfa03a,shipped,credit card,199.0,2024-07-13 03:49:51.600716
3207343e-c6a0-4656-85c9-fb91ff6ef9ed,5d2d904f-78c5-4073-8bc5-72073e9aec86,2024-08-11 03:02:07.514959,01a1fb0f-268b-44b6-bec0-a285cbc4ec0e,shipped,bank transfer,139.5,2024-08-11 03:02:07.514959
81bd55d5-b5a6-471c-8fa5-c35e10cc4604,f8f58a26-1924-4644-af52-7666b23909f4,2024-10-03 12:31:27.364865,07692583-9194-421e-a11b-f0d486379f04,delivered,bank transfer,349.0,2024-10-03 12:31:27.364865
a7c854e4-0684-4c86-b8a6-040223d26b8d,d6e18109-d7e1-44e6-b76b-9723a9902071,2023-12-21 19:07:02.976310,6365fc2a-6793-4b09-ab27-1effe82b5b36,shipped,paypal,425.0,2023-12-21 19:07:02.976310
e0a25901-4932-436e-88ad-dab1d7654a18,bca0258e-b63d-45d5-905c-7527dc57546d,2023-12-28 09:05:33.752222,6180b78a-0678-4c34-9b41-a61e85d1a1ef,delivered,credit card,349.0,2023-12-28 09:05:33.752222
22e49628-d913-457d-821f-84fcd0bcbad5,9e3bf1b3-4330-425c-9a9b-0d42154ff37d,2023-11-13 17:37:49.583970,7def3b8e-ec0d-4c3a-b011-b125022111e5,delivered,paypal,599.99,2023-11-13 17:37:49.583970
5df1bf6f-938b-43f8-8bd1-8d4bed3353fc,67f1c18b-61fe-400a-b636-cc4c5170ca8a,2024-12-26 04:23:19.335624,1cf8570b-5e5b-4ad8-b473-2eb67bb775d4,shipped,credit card,499.0,2024-12-26 04:23:19.335624
661423a7-76c9-4eb2-aae7-dc190d722918,08789ef0-dcac-4a54-8702-f4adcca3a4c4,2024-10-21 00:36:46.035783,8853490b-ec26-4a0c-809f-1c91f2c0a0cf,shipped,credit card,89.0,2024-10-21 00:36:46.035783
b0b6148c-ad7e-4ff7-9660-4762851b9860,08789ef0-dcac-4a54-8702-f4adcca3a4c4,2024-10-21 00:37:22.035010,d4e99a65-022b-4e76-ac3c-be3402b53d3d,pending,bank transfer,109.0,2024-10-21 00:37:22.035010
